Objetivo: 128 | Resueltos: 9 | Sin resolver: 119
prod-00054 | ALCOHOL ALCOMAX 700 ML | no se encontro ningun candidato en las fuentes permitidas
prod-00133 | ALGODON MOTOCITOS 25G | no se encontro ningun candidato en las fuentes permitidas
prod-00134 | ALGODON MOTOCITOS 50G | no se encontro ningun candidato en las fuentes permitidas
prod-00533 | DESLORATADINA KIDS 60ML MEMPHI | no se encontro ningun candidato en las fuentes permitidas
prod-00357 | PAÑITOS HUMEDOS TITOS X100 | no se encontro ningun candidato en las fuentes permitidas
prod-00591 | CLOBETASOL PROPINATO CREMA LAP | no se encontro ningun candidato en las fuentes permitidas
prod-00885 | GELILAB ADVANCE UVA PHARBIOLAB | no se encontro ningun candidato en las fuentes permitidas
prod-00537 | PROTECTOR NUDE SOLAR 80FPS 40M | no se encontro ningun candidato en las fuentes permitidas
prod-00694 | SAVIDOL VITALFARMA GEL 90G | no se encontro ningun candidato en las fuentes permitidas
prod-00338 | SHAMPOO JOHNSONS BABY GLICERIN | no se encontro ningun candidato en las fuentes permitidas
prod-00495 | SHAMPOO TIO NACHO CONTROL CAS | no se encontro ningun candidato en las fuentes permitidas
prod-00243 | AMTRIPTILINA 25 MG AG | no se encontro ningun candidato en las fuentes permitidas
prod-00858 | ANGIOVAN CILOSTAZOL 50MG TECNO | no se encontro ningun candidato en las fuentes permitidas
prod-00688 | CITRATO DE POTASIO PREMIUM D3 | no se encontro ningun candidato en las fuentes permitidas
prod-00256 | CLORFERAMINA JARABE 2MG | no se encontro ningun candidato en las fuentes permitidas
prod-00502 | MICROPORE KENNEDY PIEL 1/2X5 | no se encontro ningun candidato en las fuentes permitidas
prod-00503 | MICROPORE KENNEDY PIEL 1X5 | no se encontro ningun candidato en las fuentes permitidas
prod-00541 | MICROPORE SUPREME 1X1 | no se encontro ningun candidato en las fuentes permitidas
prod-00693 | MIEL DE ABEJAS LA ESPERANZA 355G | no se encontro ningun candidato en las fuentes permitidas
prod-00202 | REDOXON TOTAL EFER 10 COMPRIMI | no se encontro ningun candidato en las fuentes permitidas
prod-00106 | RELAXMENT PLUS 500 MG 30 TABLE | no se encontro ningun candidato en las fuentes permitidas
prod-00105 | RELAXMENT PLUS 500MG 20 TABLE | no se encontro ningun candidato en las fuentes permitidas
prod-00731 | REMOVEDOR LANDER + OBSE | no se encontro ningun candidato en las fuentes permitidas
prod-00751 | SHAMPO DREAM LISO ELVIVE 370ML | no se encontro ningun candidato en las fuentes permitidas
prod-00755 | SHAMPO GLYCOLIC CRISTAL ELVIVE | no se encontro ningun candidato en las fuentes permitidas
prod-00888 | SIETE FACTORES DE TRANSF 650MG | no se encontro ningun candidato en las fuentes permitidas
prod-00689 | SURELAB CHILDREN´S POLVO VAINI | no se encontro ningun candidato en las fuentes permitidas
prod-00314 | TADALOFILO 20MG | no se encontro ningun candidato en las fuentes permitidas
prod-00457 | TOROVITAL SANGRE TORO 1000ML | no se encontro ningun candidato en las fuentes permitidas
prod-00762 | TRATAMI 3 EN 1 HIDRAHIALU 500M | no se encontro ningun candidato en las fuentes permitidas
prod-00863 | TRIMETOPRIM SULFAMETO F GENGAR | no se encontro ningun candidato en las fuentes permitidas
prod-00687 | SURELAB ULTRA MULTIVITA VAINIL | no se encontro ningun candidato en las fuentes permitidas
prod-00773 | ACONDICIONADOR BAMBU PANTENE 4 | no se encontro ningun candidato en las fuentes permitidas
prod-00754 | SHAMPO REPARA TOTAL5 ELVIVE 37 | no se encontro ningun candidato en las fuentes permitidas
prod-00690 | SURELAB MAMA POLVO VAINILLA PH | no se encontro ningun candidato en las fuentes permitidas
prod-00680 | GOMITAS GRISSLY SURTIDAS | no se encontro ningun candidato en las fuentes permitidas
prod-00667 | JUMBO MANI MEDIANA | no se encontro ningun candidato en las fuentes permitidas
prod-00636 | ACTIVIT B COMPLEJO B | no se encontro ningun candidato en las fuentes permitidas
prod-00579 | TERMOMETRO DIGITAL TERMOCARE | no se encontro ningun candidato en las fuentes permitidas
prod-00557 | SHAMPOO SAVITAL 510ML ELIXIR D | no se encontro ningun candidato en las fuentes permitidas
prod-00448 | AGUA MICELAR POND ELOE FRUITY  | no se encontro ningun candidato en las fuentes permitidas
prod-00388 | PROTECTOR SOLAR NIVEA SUN SHIN | no se encontro ningun candidato en las fuentes permitidas
prod-00387 | PROTECTOR SOLAR NIVEA SUN SHIN | no se encontro ningun candidato en las fuentes permitidas
prod-00364 | PICAFIN ROLON 60ML | no se encontro ningun candidato en las fuentes permitidas
prod-00194 | CAJA CROPOLOGICA | no se encontro ningun candidato en las fuentes permitidas
prod-00166 | CREMA COLGATE LUMINOUS WHITE 9 | no se encontro ningun candidato en las fuentes permitidas
prod-00137 | CERITAMIN | no se encontro ningun candidato en las fuentes permitidas
prod-00022 | MIEL DE ROSAS UNGÜENTO  30 CC | no se encontro ningun candidato en las fuentes permitidas
prod-00018 | PIEDRA ALUMBRE UNGÜENTO  25 G | no se encontro ningun candidato en las fuentes permitidas
prod-00017 | VAGINCORT CREMA  20 G | no se encontro ningun candidato en las fuentes permitidas
