sku,nombre,estado_actual,ruta_imagen_actual,ubicacion,notas
prod-00533,DESLORATADINA KIDS 60ML MEMPHI,sin_resolver,imagenesmedimentos/genericas/antigripales.svg,genericas,OJO: script.js fuerza la imagen 'imagenesmedimentos/loratadina10mg.png' para este SKU sin importar productos.json; Fase 2: sin coincidencia confiable en fuentes permitidas
prod-00285,DOLEX GRIPA,ok,imagenesmedimentos/reales/prod-00285.jpg,reales,
prod-00511,LORATADINA 10MG AG 20 TABLETAS,ok,imagenesmedimentos/reales/prod-00511.jpg,reales,
prod-00494,LORATADINA JARABE 100ML GENFAR,ok,imagenesmedimentos/reales/prod-00494.jpg,reales,
prod-00530,LORATADINA JARABE 100ML LAPROF,ok,imagenesmedimentos/reales/prod-00530.webp,reales,
prod-00295,MIELTERTOS NIÑOS JARABE 180ML,ok,imagenesmedimentos/reales/prod-00295.jpg,reales,
prod-00126,NOXPIRIN DIA MANDARINA 15G,ok,imagenesmedimentos/reales/prod-00126.jpg,reales,
prod-00127,NOXPIRIN JUNIOR JARABE 120ML,ok,imagenesmedimentos/reales/prod-00127.webp,reales,
prod-00032,NOXPIRIN NOCHE PANELA-LIMON,ok,imagenesmedimentos/reales/prod-00032.webp,reales,
prod-00357,PAÑITOS HUMEDOS TITOS X100,sin_resolver,imagenesmedimentos/genericas/antigripales.svg,genericas,Fase 2: sin coincidencia confiable en fuentes permitidas
prod-00366,REPELENTE MOSQUITOS OUT 60ML,sin_resolver,imagenesmedimentos/genericas/antigripales.svg,genericas,"QA visual: foto muestra repelente Fly Out 100ml, no marca OUT de 60ml; Fase 2: reemplazada desde fuente permitida (https://www.farmaciaspasteur.com.co/cuidado-personal-maquinas-de-afeitar-repelentes-repelente-fly-out-oferta-pague-1-lleve-2da-con-70--833028/p?srsltid=AfmBOorBbxfTTPKTcmaqTeipJBpJnQ50-VPxYZpbvPZvizDF-RrrqEgj); QA2 tras Fase 2: sigue sin coincidir (marca Fly Out 100ml, no OUT 60ml); imagen descartada movida a _descartadas_qa2/; QA visual (candidato pre-nuevos-dominios): sigue sin coincidir, va a cola de reintento con nuevas fuentes; Fase 2 reintento 2 (dominios ampliados): candidato encontrado pero sigue sin coincidir tras QA visual; Fase 2 reintento 3 (12 fuentes): candidato encontrado pero sigue sin coincidir tras QA visual - agotadas las fuentes permitidas disponibles"
prod-00367,REPELENTE MOSQUITOS OUT 65G,sin_resolver,imagenesmedimentos/genericas/antigripales.svg,genericas,"Fase 2: sin coincidencia confiable en fuentes permitidas; QA visual (candidato pre-nuevos-dominios): sigue sin coincidir, va a cola de reintento con nuevas fuentes; Fase 2 reintento 2 (dominios ampliados): candidato encontrado pero sigue sin coincidir tras QA visual; Fase 2 reintento 3 (12 fuentes): candidato encontrado pero sigue sin coincidir tras QA visual - agotadas las fuentes permitidas disponibles"
prod-00007,VICK 44 EXPECTORANTE ADULTOS J,corregida,imagenesmedimentos/reales/prod-00007.jpg,reales,"QA visual: foto es VickMiel (jarabe con miel/guaifenesina), no Vick 44 expectorante; Fase 2: reemplazada desde fuente permitida (https://www.farmatodo.com.co/producto/1003441-vick-44-exp-guaifenesina-1330-gr-pg-jarabe-sabor-cereza-botella-x-120-ml)"
prod-00100,DICLOFENACO 75 MG AMPOLLAS,ok,imagenesmedimentos/reales/prod-00100.jpg,reales,
prod-00110,DORMEX DICLOFENACO 100 MG,ok,imagenesmedimentos/reales/prod-00110.jpg,reales,
prod-00554,IBUPROFENO 100MG SUSP MK,ok,imagenesmedimentos/reales/prod-00554.png,reales,
prod-00493,IBUPROFENO SUSPEN GENFAR 120ML,ok,imagenesmedimentos/reales/prod-00493.png,reales,
prod-00523,MELOXICAM 15MG 10 TABLE LA SAN,ok,imagenesmedimentos/reales/prod-00523.jpg,reales,
prod-00332,MELOXICAM 15MG AMPOLLA,ok,imagenesmedimentos/reales/prod-00332.png,reales,
prod-00891,NAPROXENO 500MG LAPROFF,ok,imagenesmedimentos/reales/prod-00891.jpg,reales,
prod-00892,PIROXICAM 20MG 10 CAPSULAS,ok,imagenesmedimentos/reales/prod-00892.jpg,reales,
prod-00284,DOLEX BEBES JARABE 60ML,ok,imagenesmedimentos/reales/prod-00284.jpg,reales,
prod-00821,PAÑA WINNY PANTS ETAPA 5 X30,ok,imagenesmedimentos/reales/prod-00821.jpg,reales,
prod-00359,PAÑALES WINNY ETAPA 2 X30,ok,imagenesmedimentos/reales/prod-00359.jpg,reales,
prod-00360,PAÑALES WINNY ETAPA 3 X30,ok,imagenesmedimentos/reales/prod-00360.png,reales,
prod-00358,PAÑALES WINNY ETAPA1 X30,ok,imagenesmedimentos/reales/prod-00358.png,reales,
prod-00824,PAÑALES WINNY SENSITIVE ETA 1,ok,imagenesmedimentos/reales/prod-00824.jpg,reales,
prod-00823,SIMILAC MAMA 400G,ok,imagenesmedimentos/reales/prod-00823.jpg,reales,OJO: script.js fuerza la imagen 'imagenesmedimentos/similac1.jpg' para este SKU sin importar productos.json
prod-00253,AMITRIPTILINA CLORHIDRATO 25MG,ok,imagenesmedimentos/reales/prod-00253.jpg,reales,
prod-00120,ELECTROLIT HIDRATANTE FRESA,ok,imagenesmedimentos/reales/prod-00120.webp,reales,
prod-00122,ELECTROLIT HIDRATANTE MARACUYA,ok,imagenesmedimentos/reales/prod-00122.jpg,reales,
prod-00121,ELECTROLIT HIDRATANTE UVA,ok,imagenesmedimentos/reales/prod-00121.webp,reales,
prod-00640,ELECTROLIT SABOR NARANJA-MANDA,ok,imagenesmedimentos/reales/prod-00640.jpg,reales,
prod-00050,PEDIALYTE MAX MANZANA 500 ML,ok,imagenesmedimentos/reales/prod-00050.webp,reales,
prod-00657,SHAMPOO DOVE HIDRATACION 370ML,ok,imagenesmedimentos/reales/prod-00657.jpg,reales,
prod-00565,SUERO FISIOLOGICO GOTAS 30ML,ok,imagenesmedimentos/reales/prod-00565.webp,reales,
prod-00624,SUERO SOLHIDREX CEREZA SOBRE,ok,imagenesmedimentos/reales/prod-00624.png,reales,
prod-00623,SUERO SOLHIDREX UVA SOBRE,ok,imagenesmedimentos/reales/prod-00623.png,reales,
prod-00562,SUEROX SABOR A HIERBABUENA,ok,imagenesmedimentos/reales/prod-00562.jpg,reales,
prod-00561,SUEROX SABOR A UVA 630ML,ok,imagenesmedimentos/reales/prod-00561.jpg,reales,
prod-00394,TRAMADOL CLORHIDRATO ACETAMINO,ok,imagenesmedimentos/reales/prod-00394.jpg,reales,
prod-00305,TRAZODONA CLORHIDRATO 50MG,ok,imagenesmedimentos/reales/prod-00305.png,reales,
prod-00264,ACICLOVIR CREMA 5% MK 10G,ok,imagenesmedimentos/reales/prod-00264.jpg,reales,
prod-00434,ACIDO FUSIDICO CREMA 2% LAPROF,sin_resolver,imagenesmedimentos/genericas/cuidado-personal.svg,genericas,"Fase 2: sin coincidencia confiable en fuentes permitidas; QA visual (candidato pre-nuevos-dominios): sigue sin coincidir, va a cola de reintento con nuevas fuentes"
prod-00087,ACIDO FUSIDICO CREMA AL 2%,ok,imagenesmedimentos/reales/prod-00087.jpg,reales,
prod-00148,BAYCUTEN CREMA 20G,ok,imagenesmedimentos/reales/prod-00148.jpg,reales,
prod-00147,BAYCUTEN N CREMA 35G,sin_resolver,imagenesmedimentos/genericas/cuidado-personal.svg,genericas,"Fase 2: sin coincidencia confiable en fuentes permitidas; QA visual (candidato pre-nuevos-dominios): sigue sin coincidir, va a cola de reintento con nuevas fuentes; Fase 2 reintento 2 (dominios ampliados): candidato encontrado pero sigue sin coincidir tras QA visual; Fase 2 reintento 3 (12 fuentes): candidato encontrado pero sigue sin coincidir tras QA visual - agotadas las fuentes permitidas disponibles"
prod-00262,BENLIC CREMA TOPICA 20G,ok,imagenesmedimentos/reales/prod-00262.png,reales,
prod-00263,BENLIC CREMA TOPICA 40G,ok,imagenesmedimentos/reales/prod-00263.png,reales,
prod-00247,BETAMETASONA 0.1% CREMA 20G,ok,imagenesmedimentos/reales/prod-00247.jpg,reales,
prod-00088,BETAMETASONA CREMA AL 0.05%,ok,imagenesmedimentos/reales/prod-00088.jpg,reales,
prod-00267,BLANKISIMA CREMA 60G,ok,imagenesmedimentos/reales/prod-00267.jpg,reales,
prod-00165,CEPILLO COLGATE TRIPLE ACCION,ok,imagenesmedimentos/reales/prod-00165.png,reales,
prod-00395,CICATRICURE GEL 30G CICATRICES,ok,imagenesmedimentos/reales/prod-00395.jpg,reales,
prod-00249,CLOBETASOL PROPI CREMA AG,ok,imagenesmedimentos/reales/prod-00249.png,reales,
prod-00591,CLOBETASOL PROPINATO CREMA LAP,sin_resolver,imagenesmedimentos/genericas/cuidado-personal.svg,genericas,Fase 2: sin coincidencia confiable en fuentes permitidas
prod-00250,CLOTRIMAZOL CREMA VAGIN 1% AG,ok,imagenesmedimentos/reales/prod-00250.png,reales,
prod-00902,CREMA #4 MEDICADA 30G,ok,imagenesmedimentos/reales/prod-00902.jpg,reales,
prod-00597,CREMA #4 NATURAL 20G,ok,imagenesmedimentos/reales/prod-00597.jpg,reales,
prod-00363,CREMA #4 ORIGINAL 20G,ok,imagenesmedimentos/reales/prod-00363.jpg,reales,
prod-00588,CREMA CALENDULA 30G CHENIER,sin_resolver,imagenesmedimentos/genericas/cuidado-personal.svg,genericas,"QA visual: foto muestra ""Crema Cero"", marca distinta a la indicada ""Chenier""; Fase 2: reemplazada desde fuente permitida (https://www.farmaciaspasteur.com.co/bebes-salud-cremas-anti-panalitis-crema-cero-calendula-caja-30-g-079098/p?srsltid=AfmBOoq3vDftX3tQzlJMJzL0yaNQZJWUCjLSEfnKVAW_0Z5e_OR7sksT); QA2 tras Fase 2: sigue sin coincidir (marca Crema Cero, no Chenier); imagen descartada movida a _descartadas_qa2/; QA visual (candidato pre-nuevos-dominios): sigue sin coincidir, va a cola de reintento con nuevas fuentes; Fase 2 reintento 2 (dominios ampliados): candidato encontrado pero sigue sin coincidir tras QA visual; Fase 2 reintento 3 (12 fuentes): candidato encontrado pero sigue sin coincidir tras QA visual - agotadas las fuentes permitidas disponibles"
prod-00167,CREMA COLGATE SENSITIVE PRO AL,ok,imagenesmedimentos/reales/prod-00167.png,reales,
prod-00169,CREMA COLGATE TOTAL WHITENING,ok,imagenesmedimentos/reales/prod-00169.jpg,reales,
prod-00585,CREMA DE ARNICA 60G FRESHLY,ok,imagenesmedimentos/reales/prod-00585.jpg,reales,
prod-00586,CREMA DE CALENDULA 60G FRESHLY,ok,imagenesmedimentos/reales/prod-00586.jpg,reales,
prod-00595,CREMA DE CALENDULA PILI 30G,sin_resolver,imagenesmedimentos/genericas/cuidado-personal.svg,genericas,Fase 2: sin coincidencia confiable en fuentes permitidas; Fase 2 reintento 2 (dominios ampliados): candidato encontrado pero sigue sin coincidir tras QA visual; Fase 2 reintento 3 (12 fuentes): candidato encontrado pero sigue sin coincidir tras QA visual - agotadas las fuentes permitidas disponibles
prod-00539,CREMA DENTAL PROQUIDENT 95G,corregida,imagenesmedimentos/reales/prod-00539.jpg,reales,"QA visual: foto es Proquident Kids sabor chicle 75ml, no la crema de 95g; Fase 2: reemplazada desde fuente permitida (https://www.larebajavirtual.com/crema-adhesiva-proquident-menta-30615/p?srsltid=AfmBOoo2jatLj9ejVmFG_isEo0b9wwcL1GweQAH-r0P2YQsnuPnSN2IY); QA2 tras Fase 2: sigue sin coincidir (Proquident adhesivo dental 40g, no crema dental 95g); imagen descartada movida a _descartadas_qa2/; Fase 2 (dominios ampliados, ronda pre-nuevos-dominios): reemplazada y confirmada por QA visual"
prod-00514,CREMA DENTAL VITIS ENCIAS 100M,ok,imagenesmedimentos/reales/prod-00514.jpg,reales,
prod-00385,CREMA NIVEA CUIDADO FACIL 7 - 100ML,corregida,imagenesmedimentos/reales/prod-00385.jpg,reales,"QA visual: empaque dice ""Facial 5 en Uno"", el nombre indica ""7""; Fase 2: reemplazada desde fuente permitida (https://www.farmalisto.com.co/cuidado-facial/40758-crema-nivea-cuidado-facial-5-en-1-aclarado-natural-frasco-con-100-ml-42277071.html?srsltid=AfmBOoriojcqzTVxheZj2fLpYd5_xQ1X0Nr0XEZ5bpkc6gM-TPd6G0ZP)"
prod-00382,CREMA NIVEA MILK NUTRITIVA 400,corregida,imagenesmedimentos/reales/prod-00382.jpg,reales,"QA visual: envase muestra 250ml/244g, no 400ml como indica el nombre; Fase 2: reemplazada desde fuente permitida (https://www.locatelcolombia.com/4005808319695-crema-corporal-nivea-body-milk-nutritiva-x-400ml/p)"
prod-00757,CREMA PEINAR CAIDA RESIST ELVI,ok,imagenesmedimentos/reales/prod-00757.jpg,reales,
prod-00188,CREMA PONDS CLARANT B3 45G,ok,imagenesmedimentos/reales/prod-00188.webp,reales,
prod-00560,CREMA PONDS CLARANT B3 50G,ok,imagenesmedimentos/reales/prod-00560.png,reales,
prod-00879,CREMA PONDS NUTRITIVA 200G,ok,imagenesmedimentos/reales/prod-00879.jpg,reales,
prod-00880,CREMA PONDS NUTRITIVA 50G,ok,imagenesmedimentos/reales/prod-00880.png,reales,
prod-00189,CREMA PONDS REJUVENESS 50G,ok,imagenesmedimentos/reales/prod-00189.jpg,reales,
prod-00878,CREMA PONDS VERDE PEPINO 50G,ok,imagenesmedimentos/reales/prod-00878.png,reales,
prod-00578,CREMA PROTECTORA ARRURRU 25G,corregida,imagenesmedimentos/reales/prod-00578.jpg,reales,"QA visual: foto muestra Mega Pack 100g+25g, no el envase individual de 25g; Fase 2: reemplazada desde fuente permitida (https://www.farmaciaspasteur.com.co/bebes-salud-cremas-anti-panalitis-crema-arrurru-protectora-colita-lata-25-g-513066/p?srsltid=AfmBOooBqS4xpZ2GqZOsXAcGXZiZxXKr-XWdiSUCRSae2hnvUKwDQ60Q)"
prod-00006,DERMASKIN CREMA 20 G,ok,imagenesmedimentos/reales/prod-00006.png,reales,
prod-00750,DERMASKIN CREMA 40G,ok,imagenesmedimentos/reales/prod-00750.png,reales,
prod-00344,DESODORANTE BALANCE MEN 30G,ok,imagenesmedimentos/reales/prod-00344.jpg,reales,
prod-00501,DESODORANTE BALANCE MEN 50G,ok,imagenesmedimentos/reales/prod-00501.jpg,reales,
prod-00343,DESODORANTE BALANCE WOMEN 30G,ok,imagenesmedimentos/reales/prod-00343.jpg,reales,
prod-00500,DESODORANTE BALANCE WOMEN 50G,ok,imagenesmedimentos/reales/prod-00500.jpg,reales,
prod-00786,DESODORANTE DOVE SPRAY 150ML,ok,imagenesmedimentos/reales/prod-00786.jpg,reales,
prod-00472,DESODORANTE NIVEA ACLARANTE,ok,imagenesmedimentos/reales/prod-00472.jpg,reales,
prod-00473,DESODORANTE NIVEA MIRACLE SWEE,corregida,imagenesmedimentos/reales/prod-00473.png,reales,"OJO: script.js fuerza la imagen 'imagenesmedimentos/desoderantegillette82gx2.png' para este SKU sin importar productos.json; Fase 2: sin coincidencia confiable en fuentes permitidas; Fase 2 (dominios ampliados, ronda pre-nuevos-dominios): reemplazada y confirmada por QA visual"
prod-00174,DESODORANTE REXONA CLINICAL,corregida,imagenesmedimentos/reales/prod-00174.jpg,reales,"QA visual: nombre indica 48g pero la imagen muestra envase de 30g; Fase 2: reemplazada desde fuente permitida (https://www.drogueriascafam.com.co/desodorantes/33637-desodorante-rexona-clinical-classic-en-crema-30-g-7702006206815.html?srsltid=AfmBOoqXFXvKPbrlgq_3HtctUri6TZZ4_u-30k0qx8_v13kwBL-Svp7g); QA2 tras Fase 2: sigue sin coincidir (Rexona Clinical 30g, no 48g); imagen descartada movida a _descartadas_qa2/; QA visual (candidato pre-nuevos-dominios): sigue sin coincidir, va a cola de reintento con nuevas fuentes; Fase 2 reintento 2 (dominios ampliados: Colsubsidio/Olimpica/San Jorge/Exito): confirmada por QA visual"
prod-00175,DESODORANTE REXONA ROLON HOMBR,ok,imagenesmedimentos/reales/prod-00175.png,reales,OJO: script.js fuerza la imagen 'imagenesmedimentos/desoderantegillette82gx2.png' para este SKU sin importar productos.json
prod-00102,DICLOFENACO GEL TOPICO 1%,ok,imagenesmedimentos/reales/prod-00102.jpg,reales,
prod-00044,DOLEX ACTIV GEL 10 CAPS,corregida,imagenesmedimentos/reales/prod-00044.jpg,reales,"OJO: script.js fuerza la imagen 'imagenesmedimentos/dolex.jpg' para este SKU sin importar productos.json; QA visual: foto es jarabe pediátrico Dolex Niños 90ml, no cápsulas de gel; Fase 2: reemplazada desde fuente permitida (https://www.locatelcolombia.com/7703363006094-dolex-activgel-500mg-x-10-capsulas-liquidas/p)"
prod-00474,GEL LUBRICANTE DUO PURE 75ML,ok,imagenesmedimentos/reales/prod-00474.webp,reales,
prod-00885,GELILAB ADVANCE UVA PHARBIOLAB,sin_resolver,imagenesmedimentos/genericas/cuidado-personal.svg,genericas,Fase 2: sin coincidencia confiable en fuentes permitidas
prod-00212,GELPIN FAST 4 TABLETAS,ok,imagenesmedimentos/reales/prod-00212.jpg,reales,
prod-00298,HIDROCORTISONA CREMA 1% AG 15G,ok,imagenesmedimentos/reales/prod-00298.png,reales,
prod-00396,JABON ASEPXIA AZUFRE 100G,ok,imagenesmedimentos/reales/prod-00396.jpg,reales,
prod-00397,JABON ASEPXIA BICARBONATO 100G,ok,imagenesmedimentos/reales/prod-00397.png,reales,
prod-00398,JABON ASEPXIA ESPONJA 80G,ok,imagenesmedimentos/reales/prod-00398.webp,reales,
prod-00399,JABON ASEPXIA EXFOLIANTE 100G,ok,imagenesmedimentos/reales/prod-00399.png,reales,
prod-00658,JABON BABY DOVE 400ML HIPOALER,ok,imagenesmedimentos/reales/prod-00658.jpg,reales,
prod-00656,JABON DOVE REVIGORANTE 90G,ok,imagenesmedimentos/reales/prod-00656.jpg,reales,
prod-00479,JABON INTIMO MUJER CALENDULA,ok,imagenesmedimentos/reales/prod-00479.webp,reales,
prod-00482,JABON INTIMO MUJER SALVIA Y CALENDULA 210G + VINAGRE DE MANZANA Y CALENDULA 55G,ok,imagenesmedimentos/reales/prod-00482.jpg,reales,
prod-00416,JABON NIXODERM AZUFRE ALOE VER,corregida,imagenesmedimentos/reales/prod-00416.jpg,reales,"QA visual: empaque muestra jabón azufre estándar, sin variante aloe vera indicada; Fase 2: reemplazada desde fuente permitida (https://www.farmaciaspasteur.com.co/t/jabon-nixoderm?srsltid=AfmBOoq07MAaAHjlKGpf0Lxg6VxrvnCbm4L-bV7G1-YbuBIVJeSo2lu-); QA2 tras Fase 2: sigue sin coincidir (Nixoderm Azufre sin mencion de Aloe Vera); imagen descartada movida a _descartadas_qa2/; QA visual (candidato pre-nuevos-dominios): sigue sin coincidir, va a cola de reintento con nuevas fuentes; Fase 2 reintento 2 (dominios ampliados: Colsubsidio/Olimpica/San Jorge/Exito): confirmada por QA visual"
prod-00418,JABON NIXODERM AZUFRE EXTRACTO,ok,imagenesmedimentos/reales/prod-00418.png,reales,
prod-00488,JABON PALMOLIVE AVENA Y AZUCAR,ok,imagenesmedimentos/reales/prod-00488.jpg,reales,
prod-00489,JABON PALMOLIVE SANDIA Y LYCHE,ok,imagenesmedimentos/reales/prod-00489.jpg,reales,
prod-00346,JABON PROTEX HERBAL 110G,ok,imagenesmedimentos/reales/prod-00346.jpg,reales,
prod-00335,JABON SOHNSONS BABY 110G,ok,imagenesmedimentos/reales/prod-00335.jpg,reales,
prod-00330,KETOPROFENO GEL 2.5%,ok,imagenesmedimentos/reales/prod-00330.png,reales,
prod-00802,LASONIL ACTIVE GEL 30G,ok,imagenesmedimentos/reales/prod-00802.png,reales,
prod-00566,NEOTRISONA CREMA 20G,ok,imagenesmedimentos/reales/prod-00566.jpg,reales,
prod-00536,PROTECTOR NUDE SOLAR 80FPS 120,corregida,imagenesmedimentos/reales/prod-00536.jpg,reales,"QA visual: imagen muestra pack doble FPS70 de 177ml, no FPS80 de 120; Fase 2: reemplazada desde fuente permitida (https://www.farmatodo.com.co/producto/279050670-protector-solar-nude-spf-80-frasco-x-120-ml)"
prod-00537,PROTECTOR NUDE SOLAR 80FPS 40M,sin_resolver,imagenesmedimentos/genericas/cuidado-personal.svg,genericas,Fase 2: sin coincidencia confiable en fuentes permitidas
prod-00596,PROTECTORES DE LACTANCIA 40 NOSOTRAS,ok,imagenesmedimentos/reales/prod-00596.jpg,reales,
prod-00598,PROTECTORES DE LACTANCIA AVENT,sin_resolver,imagenesmedimentos/genericas/cuidado-personal.svg,genericas,"QA visual: foto muestra pezoneras Avent, no protectores/almohadillas de lactancia; Fase 2: reemplazada desde fuente permitida (https://www.farmatodo.com.co/producto/1032481-protector-de-pezon); QA2 tras Fase 2: sigue sin coincidir (pezonera Avent, no discos protectores de lactancia); imagen descartada movida a _descartadas_qa2/; QA visual (candidato pre-nuevos-dominios): sigue sin coincidir, va a cola de reintento con nuevas fuentes; Fase 2 reintento 2 (dominios ampliados): candidato encontrado pero sigue sin coincidir tras QA visual; Fase 2 reintento 3 (12 fuentes): candidato encontrado pero sigue sin coincidir tras QA visual - agotadas las fuentes permitidas disponibles"
prod-00349,PROTECTORES NOSOTRAS X15,ok,imagenesmedimentos/reales/prod-00349.jpg,reales,
prod-00694,SAVIDOL VITALFARMA GEL 90G,sin_resolver,imagenesmedimentos/genericas/cuidado-personal.svg,genericas,Fase 2: sin coincidencia confiable en fuentes permitidas
prod-00170,SEDA DENTAL COLGATE TOTAL HILO 25MTS,ok,imagenesmedimentos/reales/prod-00170.jpg,reales,
prod-00476,SHAMPOO ARRURRU MANZANILLA 400,ok,imagenesmedimentos/reales/prod-00476.png,reales,
prod-00651,SHAMPOO HEAD & SHOULDERS 375ML,corregida,imagenesmedimentos/reales/prod-00651.jpg,reales,"QA visual: envase mostrado es de 180ml, no 375ml como indica el nombre; Fase 2: reemplazada desde fuente permitida (https://www.locatelcolombia.com/7500435020008-shampoo-head---shoulders-limpieza-renovadora-frasco-x-375ml/p)"
prod-00345,SHAMPOO HEAD & SHOULDERS SOBRE,sin_resolver,imagenesmedimentos/genericas/cuidado-personal.svg,genericas,"QA visual: producto es sobre/sachet pero la foto muestra botella de 375ml; Fase 2: reemplazada desde fuente permitida (https://www.locatelcolombia.com/7500435202688-shampoo-head---shoulders-limpieza-revitalizacion-aceite-argan-x-1000ml/p); QA2 tras Fase 2: sigue sin coincidir (botella bomba 1L, no sobre); imagen descartada movida a _descartadas_qa2/; QA visual (candidato pre-nuevos-dominios): sigue sin coincidir, va a cola de reintento con nuevas fuentes; Fase 2 reintento 2 (dominios ampliados): candidato encontrado pero sigue sin coincidir tras QA visual; Fase 2 reintento 3 (12 fuentes): candidato encontrado pero sigue sin coincidir tras QA visual - agotadas las fuentes permitidas disponibles"
prod-00338,SHAMPOO JOHNSONS BABY GLICERIN,sin_resolver,imagenesmedimentos/genericas/cuidado-personal.svg,genericas,Fase 2: sin coincidencia confiable en fuentes permitidas
